Yoshitoshi Abe
Chako Abeno
Mitsuru Adachi
Tsutomu Adachi
Tadashi Agi
Wanyan Aguda
Yu Aida
Koji Aihara
Miki Aihara
Mizuho Aimoto
Haruka Aizawa
Michiyo Akaishi
Ken Akamatsu
Fujio Akatsuka
Katsu Aki
Nami Akimoto
Osamu Akimoto
Matsuri Akino
George Akiyama
Tamayo Akiyama
Risu Akizuki
Akira Amano
Kozue Amano
Shiro Amano
Yōichi Amano
Yoshitaka Amano
Mogura Anagura
Masahiro Anbe
Jiro Ando
Natsumi Ando
Yuma Ando
Moyoco Anno
Nobuyuki Anzai
Futaba Aoi
Yasuko Aoike
Kotomi Aoki
Mitsue Aoki
Takao Aoki
Ume Aoki
Yūji Aoki
Takako Aonuma
Gosho Aoyama
Hideki Arai
Kiyoko Arai
Hiromu Arakawa
Naoshi Arakawa
Hirohiko Araki
Kanao Araki
Keiichi Arawi
Keitarō Arima
Kyoko Ariyoshi
Hiroshi Aro
Hiroyuki Asada
Sakura Asagi
Yū Asagiri
Yuya Asahina
Masashi Asaki
George Asakura
Kia Asamiya
Inio Asano
Hinako Ashihara
Hitoshi Ashinano
Haro Aso
Izumi Aso
Min Ayahana
Rando Ayamine
Hideo Azuma
Kiyohiko Azuma
Mayumi Azuma
Ryō Azumi
Ippongi Bang
Daichi Banjou
Barasui
Boichi
Frédéric Boilet
Buronson
Canelian
Tartan Check
Akio Chiba
Kiyokazu Chiba
Tetsuya Chiba
Nanae Chrono
Tatsuya Egawa
Hisashi Eguchi
Eiki Eiki
Tatsuma Ejiri
Emura
Hiroki Endo
Shunji Enomoto
Kei Enue
Est em
Mihona Fujii
Rino Fujii
Tatsuki Fujimoto
Ryu Fujisaki
Tooru Fujisawa
Kōsuke Fujishima
Kazuhiro Fujita
Kazuko Fujita
Maguro Fujita
Cocoa Fujiwara
Hiro Fujiwara
Yoshihide Fujiwara
Tsubasa Fukuchi
Eiichi Fukui
Nobuyuki Fukumoto
Haruka Fukushima
Sho Fumimura
Kou Fumizuki
Haruichi Furudate
Minoru Furuya
Mitsutoshi Furuya
Usamaru Furuya
Fujiko Fujio
Hiroshi Gamō
Keiji Gotoh
GotoP
Moto Hagio
Kazushi Hagiwara
Ryusuke Hamamoto
Youko Hanabusa
Pink Hanamori
Hidenori Hara
Taira Hara
Tetsuo Hara
Yutaka Hara
Sunao Hari
Etsumi Haruki
Shohei Harumoto
Nanae Haruno
Nana Haruta
Machiko Hasegawa
Takashi Hashiguchi
Mitsuo Hashimoto
Kenjiro Hata
Jun Hatanaka
Bisco Hatori
Akiko Hatsu
Mitsuru Hattori
Miki Hayasaka
Fumino Hayashi
Q Hayashida
Shizuru Hayashiya
Reine Hibiki
Yukari Higa
Akiko Higashimura
Asa Higuchi
Daisuke Higuchi
Tachibana Higuchi
You Higuri
Aoi Hiiragi
Hidekaz Himaruya
Akira Himekawa
Hideshi Hino
Matsuri Hino
Hisashi Hirai
Kouta Hirano
